n,AVL,RB,B1,B5,B10
100,5.9970,5.9510,57.3280,7.5620,9.2370
200,7.0405,6.9345,108.6980,8.7475,11.3155
300,7.6497,7.5470,159.5210,9.6500,12.9313
400,8.0648,7.9655,210.0687,10.2458,13.7320
500,8.4010,8.2988,260.5004,10.7874,14.4840
600,8.6720,8.5767,310.8535,11.1420,14.8875
700,8.8933,8.8031,361.1741,11.4760,15.0689
800,9.1058,9.0059,411.4521,11.7633,15.3561
900,9.2804,9.1798,461.7044,12.0163,15.7159
1000,9.4336,9.3372,511.9146,12.1767,16.0241
1100,9.5754,9.4761,562.1149,12.3390,16.2575
1200,9.7068,9.6067,612.3014,12.4863,16.5063
1300,9.8308,9.7314,662.4572,12.6262,16.6958
1400,9.9357,9.8406,712.6123,12.7678,16.8393
1500,10.0375,9.9394,762.7514,12.9062,16.9981
1600,10.1320,10.0354,812.8753,13.0279,17.1678
1700,10.2203,10.1265,862.9944,13.1409,17.3148
1800,10.3066,10.2143,913.1155,13.2654,17.4982
1900,10.3825,10.2915,963.2199,13.3795,17.6616
2000,10.4542,10.3634,1013.3192,13.4767,17.8249
2100,10.5290,10.4398,1063.4208,13.5740,17.9814
2200,10.5987,10.5120,1113.5175,13.6789,18.1417
2300,10.6645,10.5758,1163.6013,13.7737,18.3034
2400,10.7305,10.6389,1213.6879,13.8722,18.4444
2500,10.7870,10.6964,1263.7711,13.9642,18.5869
2600,10.8425,10.7551,1313.8491,14.0643,18.7471
2700,10.8997,10.8120,1363.9291,14.1519,18.8740
2800,10.9511,10.8628,1413.9939,14.2431,19.0155
2900,11.0036,10.9151,1464.0628,14.3307,19.1437
3000,11.0560,10.9658,1514.1343,14.4120,19.2791
3100,11.1045,11.0130,1564.2037,14.4886,19.4181
3200,11.1485,11.0584,1614.2677,14.5565,19.5576
3300,11.1936,11.1040,1664.3288,14.6160,19.6969
3400,11.2371,11.1462,1714.3902,14.6724,19.8284
3500,11.2804,11.1879,1764.4486,14.7235,19.9570
3600,11.3218,11.2300,1814.5110,14.7851,20.0864
3700,11.3625,11.2706,1864.5676,14.8412,20.2188
3800,11.4012,11.3088,1914.6201,14.8967,20.3617
3900,11.4394,11.3478,1964.6748,14.9463,20.4801
4000,11.4754,11.3839,2014.7264,15.0028,20.5863
4100,11.5114,11.4192,2064.7773,15.0544,20.6489
4200,11.5481,11.4560,2114.8299,15.1046,20.6989
4300,11.5836,11.4906,2164.8757,15.1515,20.7427
4400,11.6163,11.5248,2214.9183,15.2020,20.7923
4500,11.6486,11.5585,2264.9620,15.2531,20.8396
4600,11.6810,11.5885,2315.0017,15.3058,20.8929
4700,11.7144,11.6221,2365.0430,15.3536,20.9370
4800,11.7445,11.6521,2415.0821,15.3979,20.9789
4900,11.7729,11.6821,2465.1234,15.4437,21.0278
5000,11.8022,11.7111,2515.1636,15.4847,21.0777
5100,11.8311,11.7396,2565.2009,15.5321,21.1265
5200,11.8591,11.7662,2615.2373,15.5766,21.1828
5300,11.8876,11.7945,2665.2760,15.6200,21.2282
5400,11.9162,11.8228,2715.3148,15.6644,21.2861
5500,11.9422,11.8506,2765.3542,15.7052,21.3373
5600,11.9684,11.8770,2815.3914,15.7451,21.3873
5700,11.9948,11.9051,2865.4254,15.7830,21.4438
5800,12.0204,11.9307,2915.4632,15.8189,21.4982
5900,12.0453,11.9564,2965.4974,15.8544,21.5490
6000,12.0707,11.9807,3015.5299,15.8911,21.6035
6100,12.0942,12.0039,3065.5609,15.9240,21.6595
6200,12.1168,12.0278,3115.5919,15.9554,21.7111
6300,12.1409,12.0512,3165.6285,15.9858,21.7694
6400,12.1629,12.0749,3215.6579,16.0127,21.8265
6500,12.1865,12.0984,3265.6898,16.0364,21.8827
6600,12.2086,12.1210,3315.7200,16.0645,21.9427
6700,12.2306,12.1438,3365.7508,16.0909,21.9997
6800,12.2518,12.1652,3415.7781,16.1131,22.0548
6900,12.2730,12.1860,3465.8080,16.1367,22.1120
7000,12.2937,12.2071,3515.8407,16.1593,22.1696
7100,12.3135,12.2274,3565.8717,16.1878,22.2288
7200,12.3351,12.2470,3615.9010,16.2163,22.2825
7300,12.3548,12.2666,3665.9294,16.2407,22.3357
7400,12.3744,12.2865,3715.9541,16.2627,22.3954
7500,12.3947,12.3062,3765.9833,16.2840,22.4460
7600,12.4141,12.3252,3816.0095,16.3056,22.5027
7700,12.4335,12.3448,3866.0355,16.3260,22.5451
7800,12.4526,12.3643,3916.0637,16.3529,22.5793
7900,12.4706,12.3823,3966.0903,16.3742,22.6100
8000,12.4891,12.4005,4016.1179,16.3969,22.6349
8100,12.5071,12.4194,4066.1413,16.4173,22.6576
8200,12.5250,12.4379,4116.1675,16.4383,22.6817
8300,12.5429,12.4558,4166.1910,16.4586,22.7037
8400,12.5603,12.4721,4216.2143,16.4777,22.7265
8500,12.5784,12.4897,4266.2424,16.4963,22.7433
8600,12.5954,12.5057,4316.2664,16.5182,22.7586
8700,12.6121,12.5227,4366.2875,16.5354,22.7741
8800,12.6284,12.5392,4416.3120,16.5562,22.7880
8900,12.6457,12.5550,4466.3323,16.5777,22.8032
9000,12.6624,12.5710,4516.3548,16.5976,22.8173
9100,12.6784,12.5869,4566.3765,16.6212,22.8342
9200,12.6941,12.6030,4616.3994,16.6375,22.8493
9300,12.7103,12.6188,4666.4201,16.6584,22.8630
9400,12.7264,12.6353,4716.4409,16.6777,22.8797
9500,12.7414,12.6500,4766.4642,16.6993,22.8947
9600,12.7572,12.6653,4816.4844,16.7168,22.9103
9700,12.7728,12.6805,4866.5055,16.7350,22.9199
9800,12.7871,12.6955,4916.5268,16.7540,22.9336
9900,12.8031,12.7114,4966.5469,16.7746,22.9531
10000,12.8184,12.7264,5016.5659,16.7935,22.9722
