n,AVL,RB,B1,B5,B10
100,5.7060,4.6320,2.6100,7.7900,9.2150
200,6.6635,5.4795,2.2100,9.0630,11.4710
300,7.2733,6.0723,2.0900,10.0663,13.0737
400,7.6885,6.4118,2.0990,10.6505,13.7465
500,7.9956,6.7284,2.2404,11.2580,14.6104
600,8.2622,6.9668,2.1693,11.5518,14.6375
700,8.4984,7.2309,2.1737,11.8703,14.9096
800,8.6899,7.3937,2.1915,12.2592,15.4669
900,8.8717,7.5858,2.1927,12.5303,15.8257
1000,9.0057,7.7247,2.1948,12.7240,16.0362
1100,9.1570,7.8684,2.1959,12.7141,16.0410
1200,9.2696,7.9846,2.1975,12.8235,16.4006
1300,9.3968,8.0982,2.1978,12.9315,16.4776
1400,9.5171,8.2064,2.1990,13.1221,16.6096
1500,9.6115,8.3069,2.1997,13.3062,16.8506
1600,9.7007,8.4078,2.2004,13.4629,16.9466
1700,9.7881,8.4982,2.1400,13.5603,17.2559
1800,9.8760,8.5846,2.1406,13.6863,17.4902
1900,9.9458,8.6607,2.1411,13.7845,17.6327
2000,10.0281,8.7332,2.1414,13.8686,17.8195
2100,10.0969,8.7906,2.1420,13.9648,17.9834
2200,10.1606,8.8714,2.1421,14.1358,18.1001
2300,10.2349,8.9323,2.1425,14.2013,18.3347
2400,10.2954,8.9856,2.1428,14.2807,18.4494
2500,10.3539,9.0502,2.1433,14.3962,18.5910
2600,10.4103,9.1100,2.1438,14.5183,18.8852
2700,10.4608,9.1627,2.0706,14.6283,18.9268
2800,10.5136,9.2166,2.0708,14.7506,19.1023
2900,10.5664,9.2777,2.0831,14.8723,19.2819
3000,10.6109,9.3249,2.1603,14.9610,19.4339
3100,10.6610,9.3581,2.1605,15.0452,19.5816
3200,10.7061,9.4158,2.0712,15.1907,19.6941
3300,10.7539,9.4518,1.9947,15.2221,19.8308
3400,10.8000,9.5033,2.0561,15.2556,19.8982
3500,10.8432,9.5475,1.9949,15.2966,20.0361
3600,10.8810,9.5961,1.9951,15.4560,20.2760
3700,10.9194,9.6394,1.9952,15.4371,20.4019
3800,10.9590,9.6691,1.9953,15.4029,20.5710
3900,11.0035,9.7037,1.9955,15.4465,20.7474
4000,11.0440,9.7469,1.9955,15.4756,20.7769
4100,11.0780,9.7759,1.9956,15.5302,20.8335
4200,11.1103,9.8113,1.9957,15.5487,20.7035
4300,11.1436,9.8430,2.0728,15.5793,20.6784
4400,11.1801,9.8831,2.0730,15.6512,20.5745
4500,11.2113,9.9156,2.0729,15.7160,20.5425
4600,11.2428,9.9467,2.0728,15.7897,20.6314
4700,11.2753,9.9790,2.0728,15.8307,20.6504
4800,11.3161,10.0054,2.0726,15.8895,20.6892
4900,11.3399,10.0359,2.0728,15.9500,20.7394
5000,11.3696,10.0604,2.0728,15.9852,20.8839
5100,11.3993,10.0957,2.0729,16.0386,20.9051
5200,11.4216,10.1271,2.0730,16.0903,21.0170
5300,11.4515,10.1558,2.0731,16.1484,21.0550
5400,11.4806,10.1835,1.9966,16.2164,21.2087
5500,11.5022,10.2057,2.0693,16.2260,21.2342
5600,11.5293,10.2304,2.0694,16.2499,21.2256
5700,11.5575,10.2555,2.0695,16.3262,21.2939
5800,11.5831,10.2847,2.0694,16.3964,21.3990
5900,11.6121,10.3039,2.0695,16.4151,21.4195
6000,11.6333,10.3307,1.9969,16.4422,21.4670
6100,11.6517,10.3567,1.9970,16.4105,21.5870
6200,11.6814,10.3794,1.9970,16.4022,21.6750
6300,11.7033,10.4045,1.9970,16.4682,21.6626
6400,11.7280,10.4348,1.9971,16.4435,21.7916
6500,11.7519,10.4583,1.9971,16.4650,21.8389
6600,11.7741,10.4869,1.9972,16.5597,21.9400
6700,11.7935,10.5053,1.9972,16.6112,22.0067
6800,11.8147,10.5274,2.0867,16.5742,22.0909
6900,11.8346,10.5470,2.0868,16.6354,22.0984
7000,11.8563,10.5664,2.0868,16.6243,22.2591
7100,11.8805,10.5827,2.0869,16.6304,22.2502
7200,11.9045,10.6066,2.0870,16.6633,22.4204
7300,11.9249,10.6226,2.1596,16.7128,22.3992
7400,11.9422,10.6431,2.1597,16.7208,22.5169
7500,11.9613,10.6573,2.1597,16.6978,22.5079
7600,11.9783,10.6773,2.1598,16.7015,22.5425
7700,12.0003,10.6996,2.1599,16.7350,22.5905
7800,12.0201,10.7162,2.1599,16.7374,22.6270
7900,12.0345,10.7338,2.0704,16.7578,22.4701
8000,12.0529,10.7531,2.0704,16.7955,22.2954
8100,12.0762,10.7731,2.0704,16.7851,22.4734
8200,12.0921,10.7890,2.0705,16.7859,22.4131
8300,12.1073,10.8049,2.0704,16.8229,22.4328
8400,12.1275,10.8203,2.0705,16.8606,22.3094
8500,12.1490,10.8397,1.9978,16.8570,22.2832
8600,12.1685,10.8567,1.9978,16.8598,22.0984
8700,12.1875,10.8741,1.9978,16.9043,22.1328
8800,12.2026,10.8926,1.9978,16.9410,22.0309
8900,12.2165,10.9086,1.9978,16.9610,22.0249
9000,12.2303,10.9244,1.9979,16.9462,22.0083
9100,12.2465,10.9431,1.9979,16.9597,22.0104
9200,12.2617,10.9575,1.9979,17.0090,22.0312
9300,12.2784,10.9714,1.9979,17.0421,22.0638
9400,12.2893,10.9831,1.9979,17.0288,22.2142
9500,12.3100,11.0018,1.9979,17.0463,22.2019
9600,12.3250,11.0152,1.9980,17.1129,22.1151
9700,12.3425,11.0306,1.9980,17.1043,22.1200
9800,12.3588,11.0446,1.9980,17.1665,22.1979
9900,12.3705,11.0570,1.9980,17.1779,22.2892
10000,12.3867,11.0720,1.9981,17.2138,22.3342
